Player,Team,Position,GW,FPts,started,Opponent,Home,FP/G,ROS Rank,RkOv,G,KP,AT,SOT,TkW,DIS,YC,RC,ACNC,Int,CLR,CoS,BS,AER,PKM,PKD,OG,GAO,CS,Team_long,Ros %,GP,Min,FPts/Start
Mike Tresor,BUR,F,1,0.0,,,,0.0,200,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,inf
Kieran Tierney,ARS,D,1,0.0,,,,0.0,200,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Eric Dier,TOT,D,1,0.0,,,,0.0,200,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Keane Lewis-Potter,BRF,F,1,0.0,,,,0.0,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,inf
Andrey Santos,NOT,M,1,0.0,,,,0.0,200,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Daniel Podence,WOL,F,1,0.0,,,,0.0,200,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Mason Greenwood,MUN,F,1,0.0,,,,0.0,200,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Chris Wood,NOT,F,1,0.0,0.0,ARS,False,0.0,200,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nott'ham Forest,2%,1,1,inf
Jarell Quansah,LIV,D,1,0.0,,,,0.0,200,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,inf
Calvin Bassey,FUL,D,1,0.0,,,,0.0,200,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,-inf
Konstantinos Mavropanos,WHU,D,1,0.0,,,,0.0,200,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Alex Scott,BOU,M,1,0.0,,,,0.0,200,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2%,0,0,
Dele Alli,EVE,M,1,0.0,,,,0.0,200,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Clement Lenglet,AVL,D,1,0.0,,,,0.0,200,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Kobbie Mainoo,MUN,M,1,0.0,,,,0.0,200,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Amad Diallo,MUN,F,1,0.0,,,,0.0,200,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Stefan Bajcetic,LIV,M,1,0.0,,,,0.0,200,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Divin Mubama,WHU,F,1,0.0,,,,0.0,200,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Jack Hinshelwood,BHA,M,1,0.0,,,,0.0,200,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Sergio Gomez,MCI,D,1,0.0,,,,0.0,200,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Matt Targett,NEW,D,1,0.0,,,,0.0,200,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,-inf
Luke Thomas,SHU,D,1,0.0,,,,0.0,200,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,-inf
Ben Doak,LIV,F,1,0.0,0.0,CHE,False,0.0,200,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool,1%,1,12,
Tyrell Malacia,MUN,D,1,0.0,,,,0.0,200,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Tanguy Ndombele,TOT,M,1,0.0,,,,0.0,200,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Tosin Adarabioyo,FUL,D,1,0.0,,,,0.0,200,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Nathan Redmond,BUR,M,1,0.0,0.0,MCI,True,0.0,200,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley,1%,1,1,inf
Albert Sambi Lokonga,LUT,M,1,0.0,,,,0.0,200,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Adam Lallana,BHA,M,1,0.0,,,,0.0,200,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Moussa Niakhate,NOT,D,1,0.0,,,,0.0,200,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Fred,MUN,M,1,0.0,,,,0.0,200,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Trevoh Chalobah,CHE,D,1,0.0,,,,0.0,200,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Jordan Clark,LUT,M,1,0.0,,,,0.0,200,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Maxwel Cornet,WHU,M,1,0.0,0.0,BOU,False,0.0,200,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham,1%,1,1,
Murillo,NOT,M,1,0.0,,,,0.0,200,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Ryan Sessegnon,TOT,D,1,0.0,,,,0.0,200,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Lloyd Kelly,BOU,D,1,0.0,,,,0.0,200,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Maximo Perrone,MCI,M,1,0.0,,,,0.0,200,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Igor Julio dos Santos de Paulo,BHA,D,1,0.0,,,,0.0,200,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Rhian Brewster,SHU,F,1,0.0,,,,0.0,200,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Alejo Veliz,TOT,F,1,0.0,,,,0.0,200,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Conor Bradley,LIV,D,1,0.0,,,,0.0,200,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Jay Rodriguez,BUR,F,1,0.0,,,,0.0,200,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Hakim Ziyech,CHE,M,1,0.0,,,,0.0,200,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Hannes Delcroix,BUR,D,1,0.0,,,,0.0,200,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Tommy Doyle,WOL,M,1,0.0,,,,0.0,200,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Marquinhos,ARS,F,1,0.0,,,,0.0,200,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Naouirou Ahamada,CRY,M,1,0.0,,,,0.0,200,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Oscar Bobb,MCI,M,1,0.0,,,,0.0,200,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,inf
Rob Holding,CRY,D,1,0.0,,,,0.0,200,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1%,0,0,
Djed Spence,TOT,D,1,0.0,,,,0.0,200,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Josh Dasilva,BRF,M,1,0.0,,,,0.0,200,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Emmanuel Dennis,NOT,F,1,0.0,,,,0.0,200,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Toti,WOL,D,1,0.0,,,,0.0,200,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Shola Shoretire,MUN,F,1,0.0,,,,0.0,200,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Luke Harris,FUL,M,1,0.0,,,,0.0,200,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Boubacar Traore,WOL,M,1,0.0,,,,0.0,200,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Auston Trusty,SHU,D,1,0.0,,,,0.0,200,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,-inf
Yasin Ayari,BHA,M,1,0.0,,,,0.0,200,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Charlie Patino,ARS,M,1,0.0,,,,0.0,200,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Nicolas Pepe,ARS,F,1,0.0,,,,0.0,200,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jesurun Rak-Sakyi,CRY,M,1,0.0,,,,0.0,200,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Chris Richards,CRY,D,1,0.0,,,,0.0,200,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,-inf
Scott Twine,BUR,M,1,0.0,,,,0.0,200,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Leander Dendoncker,AVL,M,1,0.0,,,,0.0,200,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Bryan Gil,TOT,F,1,0.0,,,,0.0,200,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Joe Hugill,MUN,F,1,0.0,,,,0.0,200,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ben Osborn,SHU,M,1,0.0,1.0,CRY,True,0.0,200,628,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Sheffield Utd,0%,1,86,0.0
Youssef Ramalho Chermiti,EVE,F,1,0.0,,,,0.0,200,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,-inf
Enock Agyei,BUR,F,1,0.0,,,,0.0,200,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Keinan Davis,AVL,F,1,0.0,,,,0.0,200,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Lewis Miley,NEW,M,1,0.0,,,,0.0,200,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Dane Scarlett,TOT,F,1,0.0,,,,0.0,200,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Donny van de Beek,MUN,M,1,0.0,,,,0.0,200,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Cedric Soares,ARS,D,1,0.0,,,,0.0,200,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Shandon Baptiste,BRF,M,1,0.0,0.0,TOT,True,0.0,200,419,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Brentford,0%,1,17,
Jonny,WOL,D,1,0.0,,,,0.0,200,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Calum Chambers,AVL,D,1,0.0,,,,0.0,200,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Seamus Coleman,EVE,D,1,0.0,,,,0.0,200,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ismaila Coulibaly,SHU,M,1,0.0,,,,0.0,200,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ben Godfrey,EVE,D,1,0.0,,,,0.0,200,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Enso Gonzalez,WOL,F,1,0.0,,,,0.0,200,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Kortney Hause,AVL,D,1,0.0,,,,0.0,200,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Joseph Hodge,WOL,M,1,0.0,,,,0.0,200,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Frank Onyeka,BRF,M,1,0.0,,,,0.0,200,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Jaden Philogene-Bidace,AVL,M,1,0.0,,,,0.0,200,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0%,1,2,
Matt Ritchie,NEW,D,1,0.0,,,,0.0,200,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Mason Burstow,CHE,F,1,0.0,,,,0.0,200,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Nathaniel Clyne,CRY,D,1,0.0,,,,0.0,200,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Malcolm Ebiowei,CRY,M,1,0.0,,,,0.0,200,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Alvaro Fernandez,MUN,D,1,0.0,,,,0.0,200,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Daniel Gore,MUN,M,1,0.0,,,,0.0,200,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ben Johnson,WHU,D,1,0.0,,,,0.0,200,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Andre Gomes,EVE,M,1,0.0,,,,0.0,200,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Bobby Clark,LIV,M,1,0.0,,,,0.0,200,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Allan Campbell,LUT,M,1,0.0,,,,0.0,200,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Sergi Canos,BRF,F,1,0.0,,,,0.0,200,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jack Cork,BUR,M,1,0.0,,,,0.0,200,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Conor Coventry,WHU,M,1,0.0,,,,0.0,200,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Flynn Downes,WHU,M,1,0.0,,,,0.0,200,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Mohamed Elneny,ARS,M,1,0.0,,,,0.0,200,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Tyrese Francois,FUL,M,1,0.0,,,,0.0,200,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Goncalo Guedes,WOL,F,1,0.0,,,,0.0,200,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Mason Holgate,EVE,D,1,0.0,,,,0.0,200,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Hwang Ui-Jo,NOT,F,1,0.0,,,,0.0,200,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Tim Iroegbunam,AVL,M,1,0.0,,,,0.0,200,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Kevin Mbabu,FUL,D,1,0.0,,,,0.0,200,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Charlie McNeill,MUN,F,1,0.0,,,,0.0,200,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Rodrigo Muniz,FUL,F,1,0.0,,,,0.0,200,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,-inf
Angelo Ogbonna,WHU,D,1,0.0,,,,0.0,200,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Michael Olakigbe,BRF,F,1,0.0,,,,0.0,200,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Andrew Omobamidele,NOT,D,1,0.0,,,,0.0,200,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Daniel Potts,LUT,D,1,0.0,,,,0.0,200,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jonjo Shelvey,NOT,M,1,0.0,,,,0.0,200,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Adam Smith,BOU,D,1,0.0,,,,0.0,200,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Bertrand Traore,AVL,M,1,0.0,,,,0.0,200,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Diego Moreira,CHE,F,1,0.0,,,,0.0,200,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Deivid Washington de Souza Eugenio,CHE,F,1,0.0,,,,0.0,200,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Fode Ballo-Toure,FUL,D,1,0.0,,,,0.0,200,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Luke Berry,LUT,M,1,0.0,0.0,BHA,False,0.0,200,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Luton Town,0%,1,1,
Tom Davies,SHU,M,1,0.0,,,,0.0,200,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,inf
Hjalmar Ekdal,BUR,D,1,0.0,,,,0.0,200,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ryan Fraser,NEW,M,1,0.0,,,,0.0,200,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Luke Freeman,LUT,M,1,0.0,,,,0.0,200,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Isak Hansen-Aaroen,MUN,M,1,0.0,,,,0.0,200,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Omari Kellyman,AVL,M,1,0.0,,,,0.0,200,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Javier Manquillo,NEW,D,1,0.0,,,,0.0,200,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Alex Mighten,NOT,F,1,0.0,,,,0.0,200,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jakub Moder,BHA,M,1,0.0,,,,0.0,200,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Nathaniel Phillips,LIV,D,1,0.0,,,,0.0,200,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Malang Sarr,CHE,D,1,0.0,,,,0.0,200,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jay Stansfield,FUL,F,1,0.0,,,,0.0,200,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Japhet Tanganga,TOT,D,1,0.0,,,,0.0,200,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
James Tomkins,CRY,D,1,0.0,0.0,SHU,False,0.0,200,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace,0%,1,1,
Harvey White,TOT,M,1,0.0,,,,0.0,200,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Brandon Williams,MUN,D,1,0.0,,,,0.0,200,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ehor Yarmolyuk,BRF,M,1,0.0,,,,0.0,200,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Steven Alzate,BHA,M,1,0.0,,,,0.0,200,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Eric Bailly,MUN,D,1,0.0,,,,0.0,200,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Mads Bech Sorensen,BRF,D,1,0.0,,,,0.0,200,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Andre Brooks,SHU,M,1,0.0,0.0,CRY,True,0.0,200,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheffield Utd,0%,1,2,inf
Amario Cozier-Duberry,ARS,M,1,0.0,,,,0.0,200,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ryan Fredericks,BOU,D,1,0.0,,,,0.0,200,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Remo Freuler,NOT,M,1,0.0,,,,0.0,200,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Antwoine Hackford,SHU,F,1,0.0,0.0,CRY,True,0.0,200,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheffield Utd,0%,1,2,
Daniel Jebbison,SHU,F,1,0.0,,,,0.0,200,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Anthony Knockaert,FUL,M,1,0.0,,,,0.0,200,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Loic Mbe Soh,NOT,D,1,0.0,,,,0.0,200,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Admiral Muskwe,LUT,F,1,0.0,,,,0.0,200,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Rhys Norrington-Davies,SHU,D,1,0.0,,,,0.0,200,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Michael Obafemi,BUR,F,1,0.0,,,,0.0,200,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Ashley Phillips,TOT,D,1,0.0,,,,0.0,200,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Omar Richards,NOT,D,1,0.0,,,,0.0,200,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jairo Riedewald,CRY,M,1,0.0,,,,0.0,200,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Harry Toffolo,NOT,D,1,0.0,,,,0.0,200,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Rhys Bennett,MUN,D,1,0.0,,,,0.0,200,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Thomas Cannon,EVE,F,1,0.0,,,,0.0,200,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Darko Churlinov,BUR,F,1,0.0,,,,0.0,200,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Amadou Diallo,NEW,F,1,0.0,,,,0.0,200,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Nathan Ferguson,CRY,D,1,0.0,,,,0.0,200,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
John Fleck,SHU,M,1,0.0,,,,0.0,200,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Gustavo Scarpa,NOT,M,1,0.0,,,,0.0,200,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Jean-Philippe Gbamin,EVE,M,1,0.0,,,,0.0,200,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Charlie Goode,BRF,D,1,0.0,,,,0.0,200,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
John McAtee,LUT,F,1,0.0,,,,0.0,200,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
James McConnell,LIV,M,1,0.0,,,,0.0,200,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Teden Mengi,LUT,D,1,0.0,,,,0.0,200,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Lewis O'Brien,NOT,M,1,0.0,,,,0.0,200,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Wilson Odobert,BUR,F,1,0.0,,,,0.0,200,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
David Ozoh,CRY,M,1,0.0,,,,0.0,200,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Myles Peart-Harris,BRF,M,1,0.0,,,,0.0,200,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
Harry Arter,NOT,M,1,0.0,,,,0.0,200,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0%,0,0,
